"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"42","Women and men who have reached the age of 15 may marry only with parental consent."
"43","Women who have reached the age of 15 years & 3 months may marry only with parental consent."
"44","33rd session country report. No minimum legal age for marriage. The constitution states that men and women of "full age and capacity" shall have the right to marry and find a family."
"45","36th session country report. Women and men who have reached the age of 16 may marry only with parental consent."
"46","Women-minors may be permitted by court under exceptional circumstances."
"47","35th session country report. Women and men who have reached the age of 14 and 16 respectively may marry only with parental consent."
"48","39th session country report."
"49","Women after reached puberty may marry, but requires parental consent."
"50","Women who have reached the age of 16 and men at the age of 18 may marry only with parental consent."
"51","39th session country report. Women and men who have reached the age of 15 are allowed to marry only with authorization from the civil court."
"52","37th session country report. Women and men who have reached the age of 16 are allowed to marry only with authorization from the civil court."
"53","33rd session country report."
"54","30th session country report. Women require consent of guardian and the wife or the person acting on behalf of either."
"55","32nd session country report. Women who have reached the age of 15 may marry only under exceptional circumstances."
"56","Women and men below the age of 18 may marry only with parental consent."
"57","17th session country report. Requires parental consent for minors."
"58","Women who have reached the age of 17 may marry only with parental consent."
"59","35th session country report. Females who have reached the age of 16 may marry if prior permission from the Chief Minister of the relevant State has been obtained. For Muslims, females under 16 and males under 18 may marry where the Syariah judge has granted permission."
"60","24th session country report. No minimum legal age for marriage. An individual can enter into marriage once puberty has been reached, however, government policy strictly discourages marriages under the age of 16."
"61","31st session country report. Women and men who have reached the age of 16 may marry only with parental consent."
"62","38th session country report."
"63","36th session country report. The legal minimum age for marriage varies by State: 26 states set the minimum age for marriage at 16 for men and 14 for women; 5 states establish an age of 16 for both sexes; and one state raised the age to 18 and 16 years, respectively."
"64","24th session country report."
"65","Women and men who have reached the age of 15 and 18 respectively may marry only with parental consent."
"66","37th session country report. Women and men who have reached the age of 14 and 15 respectively may marry only with parental consent."
"67","38th session country report. Requires parental consent for minors. CEDAW data supplemented by information available from the website, http://www.right-to-education.org/content/age/niger.html (accessed June 2007)."
"68","Women and men below the age of 18 may marry only with permission from authorities."
"69","Women and men who have reached the age of 14 and 16 respectively may marry only with parental consent."
"70","32nd session country report. Requires parental consent when younger than 20 years."
"71","37th session country report. Women require judicial authorization to marry."
"72","37th session country report."
"73","37th session country report. Women and men who have reached the age of 16 and 18 respectively may marry only with authorization from the appropriate guardianship court."
"74","36th session country report. Men who have reached the age of 16 are allowed to marry only with authorization from the local public administration."
"75","35th session country report. Women who have reached the age of 15 are allowed to marry only under exceptional circumstances."
"76","35th session country report. Women and men who have reached the age of 16 may marry only with parental consent."
"77","32nd session country report. Women and men who have reached the age of 16 and 18 respectively may marry only with parental consent."
"78","38th session country report. Women and men who have reached the age of 16 are allowed to marry only with authorization from the civil court."
"79","38th session country report. Based on the Christian Marriage Act (no minimum age set for customary law). Women and men below the age of 21 may marry only with parental consent."
"80","25th session country report. Women and men below the age of 21 may marry only with parental consent. In the case of those below 18 years of age, the Minister issues a special marriage license."
"81","19th session country report."
"82","Women and men who have reached the age of 12 and 16 respectively may marry only with parental consent."
"83","26th session country report. Does not apply to Muslim population."
"84","34th session country report. Requires parental consent for minors."
"85","Women who have reached the age of 12 (Muslims) or 14 (Hindus) and men at the age of 16 (Muslims) or 18 (Hindus) may marry only with parental consent."
"86","32nd session country report. Requires parental consent for those aged below the age of legal competence."
"87","Women who have reached the age of 16 may marry only with parental consent."
"88","The legal minimum age for marriage varies by State. Women aged 13-18 and men 14-18 may marry only with parental consent."
"89","36th session country report. Women and men who have reached the age of 16 and 17 respectively may marry only with authorization from the Khokim of the district, city, or town."
"90","38th session country report. Women who have reached the age of 16 may marry if prior permission from the Chief Minister of the relevant State has been obtained. For Muslims, females under 16 and males under 18 may marry where the Syariah judge has granted permission."
"91","38th session country report. For Muslims, males under 18 may marry where the Syariah judge has granted permission."
"92","Exceptional session 2002. Based on age of majority. Marriage may not be contracted with a minor, except where such marriage will entail some clear benefit."
